"time","EU","EU27_2020","EU28","EA","EA20","EA19","BE","BG","CZ","DK","DE","EE","IE","EL","ES","FR","HR","IT","CY","LV","LT","LU","HU","MT","NL","AT","PL","PT","RO","SI","SK","FI","SE","EEA","IS","NO","CH","UK","ME","MK","AL","RS","TR","XK","US"
2014-09-01,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.4,-0.6,0.1,-0.3,0.3,-0.4,-0.5,-0.4,-0.1,-0.3,-1,-0.6,-0.6,-0.4,-0.2,0.3,0.8,0,0.6,1.2,-1.1,-0.1,-0.4,-0.9,-0.5,-0.5,0.5,-0.2,-0.4,-1,-0.9,-0.6,NA,-2.1,NA,0.5,-1,NA,NA
2014-10-01,-2.4,-2.4,-2.4,-2.6,-2.6,-2.6,-2.9,-2.6,-0.4,-3.3,-3.1,-1.3,-2,-9.7,-2.8,-1.7,-1,-1,-1.9,-1.3,-1.5,-2.9,-2.4,0,-2.7,-2,-1,-2.5,-2.1,0.1,-1,-2.3,-3.9,-2.4,-3.5,-2.2,-1.9,-2,NA,-1.6,NA,-0.4,-1.5,NA,NA
2014-11-01,-2.7,-2.8,-2.7,-2.7,-2.7,-2.7,-3.5,-5.5,-2.1,-1.2,-2.5,-2.1,-2.6,-1.9,-2.7,-2.8,-4.2,-2.7,-3.8,-3.8,-3,-3.2,-4.6,0,-2.7,-2.8,-3.1,-3,-3.2,-1,-3.2,-3,-1.8,-2.7,-2.6,-0.2,-3.2,-2.3,NA,-4.1,NA,-1.5,-4.4,NA,NA
2014-12-01,-6.1,-6.3,-6.1,-6.5,-6.5,-6.5,-6.4,-3,-5.1,-8.4,-8.4,-8.6,-4.9,-7.2,-8.3,-4.6,-4.3,-3.8,-5.5,-6.5,-6,-7.7,-5.9,0,-5.4,-7,-4.8,-6.9,-5.9,-4.4,-3.7,-5.9,-7,-6.1,-2.4,-4.9,-7.2,-4.7,NA,-5.6,NA,-6.6,-5.6,NA,NA
2015-01-01,-6.7,-6.7,-6.7,-6.6,-6.7,-6.6,-11.7,-10.8,-7.9,-5.2,-6.5,-8.3,-9.1,-6.6,-6.7,-6,-9.8,-6.8,-9,-7.8,-11.3,-6,-7.8,-1.2,-5,-6.5,-6.9,-2.5,-5.2,-8,-5.8,-6.2,-3.6,-6.7,-11,-0.1,-7.3,-7,-8.1,-10,NA,-4.9,-5.7,NA,NA
2015-02-01,2.8,3.2,2.8,3.8,3.8,3.8,5.6,-0.1,-3.8,7,4.6,6.6,0.7,4.7,5.1,4.7,-0.9,0.5,2.1,2.9,2.9,5.1,2.6,-2.9,3.6,2,-2.2,4.6,3.7,0.2,-4.8,2.7,6.5,2.8,2.5,-1.4,-3.3,-0.9,1.5,-2,NA,1.9,2.9,NA,NA
2015-03-01,3.8,3.9,3.8,3.8,3.8,3.8,5.6,8.5,4.3,2.1,3,4.6,5.3,3.7,5,3,9.1,4.3,5.2,4.3,5.5,4.4,5.4,-2.2,4,4.1,3.6,3.8,3.8,3,4.7,4.1,3.1,3.8,5.8,2.6,5,3.2,5.7,9.5,NA,3.5,3.3,NA,NA
2015-04-01,0.9,0.8,0.9,0.7,0.7,0.7,-0.9,0.3,1.7,1.9,1.4,0.9,1.2,1.1,0.9,0.3,-0.1,0.1,1,0.3,0.5,0.2,-0.4,-0.6,1.3,0.7,1.1,1.3,0.9,-0.9,3.3,2.2,2.6,0.9,0.8,2,-0.7,1.5,2.1,0.4,NA,0.3,0.8,NA,NA
2015-05-01,2.2,2.3,2.2,2.3,2.3,2.3,4.3,3.2,2.2,0.8,2,2.8,3.4,1.5,2.6,2.2,5.4,1.9,3.7,1.9,5.3,3,3.9,0,1.6,2.3,1.4,3.5,2.5,4.5,2.3,2.6,1.4,2.2,2.3,-2.2,3.6,1.8,6.5,3.6,NA,0.9,3.1,NA,NA
2015-06-01,-0.1,-0.1,-0.1,-0.4,-0.4,-0.4,-0.9,0.1,0.9,0.9,-0.8,0.4,0.2,0.5,-0.4,-0.8,-0.2,0.1,0.7,1.5,1.8,0.1,1.6,0,0.4,0.4,1.8,0.3,0.5,-0.1,0.4,1.2,0.3,0,1.5,4.5,0,0.7,0.8,-0.1,NA,1.9,-0.8,NA,NA
2015-07-01,-0.9,-0.9,-0.9,-1.2,-1.2,-1.2,-2.1,0.4,0,-0.6,-0.8,-2.8,-0.8,0,-1.8,-1.9,-1.6,-0.8,0.3,-0.3,-0.7,-1.5,0.7,0,-0.4,-1.5,1.1,-0.7,-1.2,-1.5,-0.7,-1.1,0,-0.9,-1.2,1,-0.8,-0.7,-1.1,-0.1,NA,0.4,-1.5,NA,NA
2015-08-01,-4.1,-4.2,-4.1,-4.4,-4.4,-4.4,-6.2,-1.4,-1.7,-4.5,-4.4,-5.5,-3.3,-3.1,-5.3,-4.9,-4.9,-2.7,-3.2,-5.4,-6.5,-4.9,-5.5,0,-4.8,-4.9,-2.3,-4,-5.3,-3.5,-4.4,-2.4,-3.9,-4.1,-4,-3.9,-3.2,-3.2,-4.6,-3.6,NA,-1.8,-2.6,NA,NA
2015-09-01,-3.4,-3.5,-3.4,-3.3,-3.3,-3.3,-3.5,-6.9,-3.3,-3.7,-3.6,-4.8,-3.8,-3,-3.1,-2.3,-4.4,-3.6,-4.7,-4.8,-4.2,-3.8,-5.1,0,-3.6,-3.1,-4.7,-3.8,-2.7,-4.7,-4.4,-4.8,-5.4,-3.4,-5.3,-3,-2.2,-2.8,-2.6,-7.1,NA,-2.3,0.9,NA,NA
