memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,category,marketName,marketingYear
AT,Austria,13/02/2023,19/02/2023,€668.00,100CARC,7,Heavy Lamb,AT,2023
AT,Austria,06/02/2023,12/02/2023,€671.00,100CARC,6,Heavy Lamb,AT,2023
AT,Austria,30/01/2023,05/02/2023,€681.00,100CARC,5,Heavy Lamb,AT,2023
AT,Austria,23/01/2023,29/01/2023,€656.00,100CARC,4,Heavy Lamb,AT,2023
AT,Austria,16/01/2023,22/01/2023,€680.00,100CARC,3,Heavy Lamb,AT,2023
AT,Austria,09/01/2023,15/01/2023,€653.00,100CARC,2,Heavy Lamb,AT,2023
AT,Austria,02/01/2023,08/01/2023,€667.00,100CARC,1,Heavy Lamb,AT,2023
AT,Austria,26/12/2022,01/01/2023,€681.00,100CARC,0,Heavy Lamb,AT,2023
AT,Austria,26/12/2022,01/01/2023,€681.00,100CARC,52,Heavy Lamb,AT,2022
AT,Austria,19/12/2022,25/12/2022,€658.00,100CARC,51,Heavy Lamb,AT,2022
AT,Austria,12/12/2022,18/12/2022,€647.00,100CARC,50,Heavy Lamb,AT,2022
AT,Austria,05/12/2022,11/12/2022,€678.00,100CARC,49,Heavy Lamb,AT,2022
AT,Austria,28/11/2022,04/12/2022,€646.00,100CARC,48,Heavy Lamb,AT,2022
AT,Austria,21/11/2022,27/11/2022,€670.00,100CARC,47,Heavy Lamb,AT,2022
AT,Austria,14/11/2022,20/11/2022,€667.00,100CARC,46,Heavy Lamb,AT,2022
AT,Austria,07/11/2022,13/11/2022,€680.00,100CARC,45,Heavy Lamb,AT,2022
AT,Austria,31/10/2022,06/11/2022,€666.00,100CARC,44,Heavy Lamb,AT,2022
AT,Austria,24/10/2022,30/10/2022,€638.00,100CARC,43,Heavy Lamb,AT,2022
AT,Austria,17/10/2022,23/10/2022,€665.00,100CARC,42,Heavy Lamb,AT,2022
AT,Austria,10/10/2022,16/10/2022,€680.00,100CARC,41,Heavy Lamb,AT,2022
AT,Austria,03/10/2022,09/10/2022,€659.00,100CARC,40,Heavy Lamb,AT,2022
AT,Austria,26/09/2022,02/10/2022,€643.00,100CARC,39,Heavy Lamb,AT,2022
AT,Austria,19/09/2022,25/09/2022,€672.00,100CARC,38,Heavy Lamb,AT,2022
AT,Austria,12/09/2022,18/09/2022,€644.00,100CARC,37,Heavy Lamb,AT,2022
AT,Austria,05/09/2022,11/09/2022,€642.18,100CARC,36,Heavy Lamb,AT,2022
AT,Austria,29/08/2022,04/09/2022,€664.00,100CARC,35,Heavy Lamb,AT,2022
AT,Austria,22/08/2022,28/08/2022,€637.87,100CARC,34,Heavy Lamb,AT,2022
AT,Austria,15/08/2022,21/08/2022,€651.00,100CARC,33,Heavy Lamb,AT,2022
AT,Austria,08/08/2022,14/08/2022,€641.00,100CARC,32,Heavy Lamb,AT,2022
AT,Austria,01/08/2022,07/08/2022,€657.00,100CARC,31,Heavy Lamb,AT,2022
AT,Austria,25/07/2022,31/07/2022,€659.00,100CARC,30,Heavy Lamb,AT,2022
AT,Austria,18/07/2022,24/07/2022,€678.00,100CARC,29,Heavy Lamb,AT,2022
AT,Austria,11/07/2022,17/07/2022,€652.00,100CARC,28,Heavy Lamb,AT,2022
AT,Austria,04/07/2022,10/07/2022,€633.00,100CARC,27,Heavy Lamb,AT,2022
AT,Austria,27/06/2022,03/07/2022,€637.00,100CARC,26,Heavy Lamb,AT,2022
AT,Austria,20/06/2022,26/06/2022,€647.00,100CARC,25,Heavy Lamb,AT,2022
AT,Austria,13/06/2022,19/06/2022,€666.00,100CARC,24,Heavy Lamb,AT,2022
AT,Austria,06/06/2022,12/06/2022,€644.00,100CARC,23,Heavy Lamb,AT,2022
AT,Austria,30/05/2022,05/06/2022,€653.00,100CARC,22,Heavy Lamb,AT,2022
AT,Austria,23/05/2022,29/05/2022,€670.00,100CARC,21,Heavy Lamb,AT,2022
AT,Austria,16/05/2022,22/05/2022,€637.00,100CARC,20,Heavy Lamb,AT,2022
AT,Austria,09/05/2022,15/05/2022,€647.00,100CARC,19,Heavy Lamb,AT,2022
AT,Austria,02/05/2022,08/05/2022,€664.00,100CARC,18,Heavy Lamb,AT,2022
AT,Austria,25/04/2022,01/05/2022,€653.00,100CARC,17,Heavy Lamb,AT,2022
AT,Austria,18/04/2022,24/04/2022,€656.00,100CARC,16,Heavy Lamb,AT,2022
AT,Austria,11/04/2022,17/04/2022,€663.00,100CARC,15,Heavy Lamb,AT,2022
AT,Austria,04/04/2022,10/04/2022,€653.00,100CARC,14,Heavy Lamb,AT,2022
AT,Austria,28/03/2022,03/04/2022,€648.00,100CARC,13,Heavy Lamb,AT,2022
AT,Austria,21/03/2022,27/03/2022,€653.00,100CARC,12,Heavy Lamb,AT,2022
AT,Austria,14/03/2022,20/03/2022,€640.00,100CARC,11,Heavy Lamb,AT,2022
AT,Austria,07/03/2022,13/03/2022,€633.00,100CARC,10,Heavy Lamb,AT,2022
AT,Austria,28/02/2022,06/03/2022,€639.00,100CARC,9,Heavy Lamb,AT,2022
AT,Austria,21/02/2022,27/02/2022,€632.00,100CARC,8,Heavy Lamb,AT,2022
AT,Austria,14/02/2022,20/02/2022,€640.00,100CARC,7,Heavy Lamb,AT,2022
AT,Austria,07/02/2022,13/02/2022,€629.00,100CARC,6,Heavy Lamb,AT,2022
AT,Austria,31/01/2022,06/02/2022,€629.00,100CARC,5,Heavy Lamb,AT,2022
AT,Austria,24/01/2022,30/01/2022,€622.00,100CARC,4,Heavy Lamb,AT,2022
AT,Austria,17/01/2022,23/01/2022,€626.00,100CARC,3,Heavy Lamb,AT,2022
